t,meas_left,meas_right
1753187029.5478923,-0.03490658503988659,-0.017453292519943295
1753187029.6729271,-0.017453292519943295,-0.017453292519943295
1753187029.7212968,-0.017453292519943295,-0.017453292519943295
1753187029.7979884,-0.017453292519943295,-0.03490658503988659
1753187029.9216902,-0.017453292519943295,-0.03490658503988659
1753187029.9254131,-0.017453292519943295,-0.03490658503988659
1753187030.0514069,-0.017453292519943295,-0.017453292519943295
1753187030.1226766,-0.017453292519943295,-0.017453292519943295
1753187030.1763542,-0.03490658503988659,-0.017453292519943295
1753187030.3036623,-0.03490658503988659,-0.03490658503988659
1753187030.3254755,-0.03490658503988659,-0.03490658503988659
1753187030.4284642,-0.017453292519943295,-0.03490658503988659
1753187030.5254521,-0.017453292519943295,-0.03490658503988659
1753187030.5550082,-0.017453292519943295,-0.03490658503988659
1753187030.6824713,-0.017453292519943295,-0.017453292519943295
1753187030.7265093,-0.017453292519943295,-0.017453292519943295
1753187030.8101451,-0.017453292519943295,-0.017453292519943295
1753187030.9280388,-0.017453292519943295,-0.017453292519943295
1753187030.9384904,-0.03490658503988659,-0.017453292519943295
1753187031.0641184,-0.017453292519943295,-0.017453292519943295
1753187031.1289089,-0.017453292519943295,-0.017453292519943295
1753187031.1919775,-0.017453292519943295,-0.017453292519943295
1753187031.3163877,-0.017453292519943295,-0.017453292519943295
1753187031.330228,-0.017453292519943295,-0.017453292519943295
1753187031.44132,-0.017453292519943295,-0.017453292519943295
1753187031.5314553,-0.017453292519943295,-0.017453292519943295
1753187031.5666811,-0.03490658503988659,-0.03490658503988659
1753187031.694471,-0.017453292519943295,-0.03490658503988659
1753187031.7322338,-0.017453292519943295,-0.03490658503988659
1753187031.822533,-0.017453292519943295,-0.017453292519943295
1753187031.933135,-0.017453292519943295,-0.017453292519943295
1753187031.947384,-0.017453292519943295,-0.017453292519943295
1753187032.0727272,-0.017453292519943295,-0.03490658503988659
1753187032.134432,-0.017453292519943295,-0.03490658503988659
1753187032.1976748,-0.03490658503988659,-0.017453292519943295
1753187032.3251953,-0.017453292519943295,-0.017453292519943295
1753187032.3361876,-0.017453292519943295,-0.017453292519943295
1753187032.450418,-0.03490658503988659,-0.03490658503988659
1753187032.5364325,-0.03490658503988659,-0.03490658503988659
1753187032.575752,-0.017453292519943295,-0.017453292519943295
1753187032.7030447,-0.017453292519943295,-0.017453292519943295
1753187032.7377315,-0.017453292519943295,-0.017453292519943295
1753187032.8275084,-0.03490658503988659,-0.017453292519943295
1753187032.9383504,-0.03490658503988659,-0.017453292519943295
1753187032.9529195,-0.017453292519943295,-0.03490658503988659
1753187033.0787508,-0.03490658503988659,-0.05235987755982989
1753187033.1410341,-0.03490658503988659,-0.05235987755982989
1753187033.2045724,-0.06981317007977318,-0.06981317007977318
1753187033.3310301,-0.08726646259971647,-0.08726646259971647
1753187033.3414588,-0.08726646259971647,-0.08726646259971647
1753187033.4571142,-0.12217304763960307,-0.12217304763960307
1753187033.544466,-0.12217304763960307,-0.12217304763960307
1753187033.5839643,-0.13962634015954636,-0.13962634015954636
1753187033.7098534,-0.17453292519943295,-0.17453292519943295
1753187033.7474582,-0.17453292519943295,-0.17453292519943295
1753187033.8357656,-0.19198621771937624,-0.19198621771937624
